height,weight,college,born,birth_city,birth_state,year_start,year_end,Year,Age,G,GS,MP,PER,ORB%,DRB%,TRB%,ORB,DRB,TRB,PTS,NBA_Years,SevereInjury
221,119,*,1987,*,*,*,*,2013,25,66.0,4.0,770.0,11.6,11.1,17.5,14.5,69.0,126.0,195.0,160.0,3,2
221,119,*,1987,*,*,*,*,2014,26,23.0,0.0,192.0,2.6,5.6,17.4,11.7,9.0,31.0,40.0,27.0,4,1
213,120,*,1989,*,*,*,*,2011,21,1.0,0.0,2.0,-17.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3
213,120,*,1989,*,*,*,*,2012,22,18.0,0.0,109.0,16.2,15.4,24.3,19.6,16.0,23.0,39.0,29.0,1,2
213,120,*,1989,*,*,*,*,2015,25,48.0,32.0,1142.0,26.2,15.6,34.7,25.4,145.0,337.0,482.0,564.0,4,3
213,120,*,1989,*,*,*,*,2016,26,73.0,43.0,2125.0,25.7,13.1,32.4,23.1,238.0,627.0,865.0,1040.0,5,3
213,120,*,1989,*,*,*,*,2017,27,77.0,77.0,2513.0,22.6,12.8,35.3,24.0,293.0,795.0,1088.0,1309.0,6,2
208,99,*,1979,*,*,*,*,2010,30,74.0,69.0,2272.0,13.3,2.2,15.2,8.9,42.0,301.0,343.0,835.0,9,1
208,99,*,1979,*,*,*,*,2011,31,81.0,72.0,2540.0,13.4,2.1,14.0,8.2,45.0,311.0,356.0,877.0,10,1
208,99,*,1979,*,*,*,*,2012,32,53.0,53.0,1653.0,11.7,1.7,12.4,7.0,24.0,175.0,199.0,576.0,11,3
208,99,*,1979,*,*,*,*,2013,33,11.0,1.0,189.0,3.4,2.4,13.2,7.8,4.0,22.0,26.0,32.0,12,2
208,99,*,1979,*,*,*,*,2014,34,38.0,0.0,392.0,11.3,3.2,21.4,12.6,11.0,78.0,89.0,115.0,13,2
208,99,*,1979,*,*,*,*,2015,35,62.0,2.0,705.0,10.5,0.8,14.7,7.9,5.0,94.0,99.0,232.0,14,2
211,111,*,1997,*,*,*,*,2017,20,19.0,2.0,146.0,7.5,5.8,25.6,15.3,8.0,33.0,41.0,60.0,0,2
208,112,*,1990,*,*,*,*,2013,22,2.0,0.0,5.0,29.2,46.8,0.0,23.8,2.0,0.0,2.0,4.0,0,1
208,112,*,1990,*,*,*,*,2014,23,46.0,25.0,875.0,16.1,12.5,17.2,14.8,104.0,133.0,237.0,350.0,1,1
