height,weight,college,born,birth_city,birth_state,year_start,year_end,Year,Age,G,GS,MP,PER,ORB%,DRB%,TRB%,ORB,DRB,TRB,PTS,NBA_Years,SevereInjury
206,99,*,1990,*,*,*,*,2011,20,80.0,15.0,1452.0,12.7,7.5,12.9,8.7,75.0,194.0,266.0,461.0,0,1
206,99,*,1990,*,*,*,*,2012,21,65.0,20.0,1477.0,12.8,9.8,16.3,13.9,96.0,213.0,305.0,400.0,1,1
206,99,*,1990,*,*,*,*,2013,22,77.0,72.0,2067.0,11.3,7.6,25.0,16.2,141.0,446.0,586.0,556.0,2,1
206,99,*,1990,*,*,*,*,2014,23,86.0,66.0,2043.0,16.1,5.6,20.9,13.7,128.0,367.0,495.0,574.0,3,1
206,99,*,1990,*,*,*,*,2015,24,74.0,3.0,1365.0,11.4,9.0,18.1,13.2,114.0,229.0,340.0,403.0,4,1
206,99,*,1990,*,*,*,*,2016,25,83.0,83.0,2341.0,9.6,4.7,22.6,17.7,100.0,401.0,499.0,838.0,5,1
206,99,*,1990,*,*,*,*,2017,26,59.0,26.0,1775.0,15.1,9.3,22.0,23.6,82.0,381.0,452.0,524.0,6,2
198,99,*,1982,*,*,*,*,2012,29,16.0,13.0,459.0,7.1,4.1,6.9,3.1,11.0,27.0,31.0,164.0,6,1
198,99,*,1982,*,*,*,*,2013,30,69.0,2.0,1496.0,18.2,5.4,7.6,9.7,33.0,112.0,153.0,690.0,7,1
198,99,*,1982,*,*,*,*,2014,31,79.0,27.0,1772.0,12.4,2.3,10.3,4.8,39.0,138.0,176.0,566.0,8,1
198,99,*,1982,*,*,*,*,2015,32,75.0,23.0,1748.0,17.2,1.4,12.7,11.8,29.0,173.0,204.0,543.0,9,1
198,99,*,1982,*,*,*,*,2016,33,13.0,1.0,190.0,5.9,0.0,13.3,6.6,0.0,27.0,34.0,66.0,10,2
198,99,*,1982,*,*,*,*,2017,34,30.0,0.0,310.0,-0.3,1.4,6.5,4.5,4.0,20.0,22.0,84.0,11,2
198,97,*,1991,*,*,*,*,2012,20,64.0,2.0,940.0,10.6,3.9,10.1,10.3,59.0,75.0,134.0,424.0,0,1
198,97,*,1991,*,*,*,*,2013,21,58.0,0.0,1138.0,11.0,8.0,11.3,9.1,36.0,106.0,144.0,452.0,1,2
198,97,*,1991,*,*,*,*,2014,22,78.0,13.0,2196.0,4.3,5.8,10.7,6.7,63.0,193.0,256.0,1088.0,2,1
198,97,*,1991,*,*,*,*,2015,23,27.0,32.0,899.0,12.5,8.1,9.8,5.7,17.0,93.0,115.0,374.0,3,3
198,97,*,1991,*,*,*,*,2016,24,28.0,3.0,798.0,14.2,5.8,12.6,9.0,16.0,93.0,108.0,413.0,4,3
198,97,*,1991,*,*,*,*,2017,25,44.0,4.0,651.0,11.3,1.7,18.8,9.7,22.0,104.0,116.0,280.0,5,2
198,86,*,1993,*,*,*,*,2017,23,68.0,7.0,1055.0,12.0,4.2,8.9,4.8,18.0,73.0,87.0,406.0,0,2
213,111,*,1991,*,*,*,*,2015,23,7.0,0.0,14.0,4.9,8.5,0.0,1.5,1.0,4.0,2.0,11.0,0,1
216,117,*,1993,*,*,*,*,2014,20,43.0,3.0,365.0,7.6,12.6,17.7,15.2,41.0,60.0,98.0,86.0,0,1
216,117,*,1993,*,*,*,*,2015,21,71.0,43.0,1514.0,9.3,12.0,29.3,16.2,139.0,311.0,456.0,431.0,1,1
216,117,*,1993,*,*,*,*,2016,22,77.0,45.0,1824.0,11.6,9.4,33.0,20.7,178.0,412.0,592.0,702.0,2,1
